ID,Name,Concepticon_ID,Concepticon_Gloss,Portuguese_Gloss,German_Gloss
1_tongue,tongue,1205,TONGUE,língua (parte do corpo),Zunge
2_mouth,mouth,674,MOUTH,boca,Mund
3_lip,lip,478,LIP,lábios,Lippen
4_tooth,tooth,1380,TOOTH,dente,Zahn
5_nose,nose,1221,NOSE,nariz,Nase
6_nostril,nostril,1178,NOSTRIL,narina,Nasenloch
7_eye,eye,1248,EYE,olho,Auge
8_ear,ear,1247,EAR,orelha,Ohr
9_earhole,earhole,3891,EARHOLE,ouvido,Ohrloch als Gehörgang
10_holeintheearlobe,hole in the earlobe,,,furo no lobo da orelha,Loch im Ohrläppchen
11_pinintheearlobe,pin in the earlobe,,,alargador no lobo da orelha,Stift im Ohrläppchen
12_holeinthelowerlip,hole in the lower lip,,,furo no lábio inferior,Loch in der Unterlippe
13_longandthincylinderinthelowerlip,long and thin cylinder in the lower lip,,,cilindro longo e fino no lábio inferior,Stift in der Unterlippe
14_holeinthenasalseptum,hole in the nasal septum,,,furo no septo nasal,Loch in der Nasenscheidewand
15_pininthenasalseptum,pin in the nasal septum,,,talo da pena no septo nasal,Stift in der Nasenscheidewand
16_forehead,forehead,123,FOREHEAD,testa,Stirn
17_head,head,1256,HEAD,cabeça,Kopf
18_hairhead,hair (head),2648,HAIR (HEAD),cabelo,Kopfhaar
19_eyebrow,eyebrow,1173,EYEBROW,sobrancelhas,Augenbrauen
20_eyelash,eyelash,1540,EYELASH,cílios,Augenwimpern
21_beard,beard,678,BEARD,barba,Bart
22_pubichair,pubic hair,36,PUBIC HAIR,pelo pubiano,Schamhaar
23_armpithair,armpit hair,,,pelo nas axilas,Achselhaar
24_cheek,cheek,1730,CHEEK,bochecha,Wange
25_chin,chin,1510,CHIN,queixo,Kinn
26_shoulder,shoulder,1482,SHOULDER,ombro,Schulter
27_arm,arm,1673,ARM,braço,Arm
28_elbow,elbow,981,ELBOW,cotovelo,Ellbogen
29_hand,hand,1277,HAND,mão,Hand
30_backofthehand,back of the hand,,,costas da mão,Handrücken
31_palmofhand,palm of hand,1183,PALM OF HAND,palma da mão,Handfläche
32_finger,finger,1303,FINGER,dedo,Finger
33_thumb,thumb,1781,THUMB,polegar,Daumen
34_forefinger,forefinger,577,FOREFINGER,dedo indicador,Zeigefinger
35_middlefinger,middle finger,3387,MIDDLE FINGER,dedo médio,Mittelfinger
36_ringfinger,ring finger,,,dedo anelar,Ringfinger
37_smallfinger,small finger,2774,LITTLE FINGER,dedo mínimo,Kleinfinger
38_fingernail,fingernail,1258,FINGERNAIL,unha,Fingernagel
39_thigh,thigh,471,UPPER LEG (THIGH),coxa,Oberschenkel
40_lowerleg,lower leg,447,LOWER LEG,parte da perna abaixo do joelho e acima do tornozelo,Unterschenkel
41_shin,shin,186,SHIN,canela da perna,Schienbein
42_calfofleg,calf of leg,498,CALF OF LEG,panturrilha,Wade
43_knee,knee,1371,KNEE,joelho,Knie
44_backoftheknee,back of the knee,,,parte detrás do joelho,Kniekehle
45_foot,foot,1301,FOOT,pé,Fuß
46_instep,instep,3736,INSTEP,peito do pé,Fußrücken
47_solefoot,sole (foot),2666,SOLE (FOOT),sola do pé,Sohle
48_heel,heel,980,HEEL,calcamnhar,Ferse
49_ankle,ankle,803,ANKLE,tornozelo,Fußknöchel
50_foottendon,foot tendon,,,tendão do pé,Fußsehne
51_toe,toe,1389,TOE,dedão,Zehe
52_toenail,toenail,2662,TOENAIL,unha do dedão,Zehennagel
53_body,body,1480,BODY,corpo,Körper
54_neck,neck,1333,NECK,pescoço,Hals
55_napeofneck,nape (of neck),1347,NAPE (OF NECK),nuca,Nacken
56_throat,throat,1346,THROAT,gargante,Kehle
57_armpit,armpit,1886,ARMPIT,axila,Achselhöhle
58_shoulderblade,shoulder blade,172,SHOULDERBLADE,escápula,Schulterblatt
59_rib,rib,801,RIB,costela,Rippen
60_chest,chest,1592,CHEST,peito,Brust
61_nipple,nipple,796,NIPPLE,mamilo,Brustwarze
62_breast,breast,1402,BREAST,peito feminino,Weibliche Brust
63_belly,belly,1251,BELLY,barriga,Bauch
64_navel,navel,1838,NAVEL,umbigo,Nabel
65_back,back,1291,BACK,costas,Rücken
66_buttocks,buttocks,834,BUTTOCKS,nádegas,Gesaß
67_penis,penis,1222,PENIS,pênis,Penis
68_scrotum,scrotum,2834,SCROTUM,escroto,Scrotum
69_testicle,testicle,797,TESTICLES,testículo,Testikel
70_membrummuliebre,membrum muliebre,,,membrum muliebre,Membrum muliebre
71_vagina,vagina,1836,VAGINA,vagina,Vagina
72_clitoris,clitoris,3257,CLITORIS,clitóris,Clitoris
73_anus,anus,1935,ANUS,ânus,Anus
74_skin,skin,763,SKIN,pele,Haut
75_fur,fur,580,FUR,pelo,Fell
76_bone,bone,1394,BONE,osso,Knochen
77_blood,blood,946,BLOOD,sangue,Blut
78_vein,vein,1924,VEIN,veia,Ader
79_pulse,pulse,3267,PULSE,pulso,Puls
80_flesh,flesh,2259,FLESH,carne,Fleisch
81_tendon,tendon,1137,TENDON,tendão,Sehne
82_heart,heart,1223,HEART,coração,Herz
83_guts,guts,1334,GUTS,vísceras,Eingeweide
84_stomach,stomach,819,STOMACH,estômago,Magen
85_intestine,intestine,1991,INTESTINES,intestino,Darm
86_fatorganicsubstance,fat (organic substance),323,FAT (ORGANIC SUBSTANCE),gordura,Fett
87_saliva,saliva,1503,SALIVA,saliva,Speichel
88_urine,urine,1142,URINE,urina,Urin
89_sweatsubstance,sweat (substance),125,SWEAT (SUBSTANCE),suor,Schweiß
90_tearofeye,tear (of eye),1651,TEAR (OF EYE),lágrima,Träne
91_faecesexcrement,faeces (excrement),675,FAECES (EXCREMENT),fezes,Kot
92_fartnoun,fart (noun),,,Pum,Flatus
93_breath,breath,870,BREATH,hálito,Atem
94_wound,wound,1109,WOUND,ferida,Wunde
95_purupuruskindisease,purupuru (skin disease),,,purupuru (doença de pele),Purupuru (Hautkrankheit)
96_beak,beak,73,BEAK,bico,Schnabel
97_tail,tail,1220,TAIL,cauda,Schwanz
98_wing,wing,1257,WING,asa,Flügel
99_feather,feather,1201,FEATHER,pena,Feder
100_fin,fin,213,FIN,nadadeira,Flosse
101_water,water,948,WATER,água,Wasser
102_river,river,666,RIVER,rio,Fluß
103_brook,brook,3821,BROOK,riacho,Bach
104_lagoon,lagoon,623,LAGOON,lagoa,Lagune
105_waterfall,waterfall,943,WATERFALL,cachoeira,"Cachoeira (Stromschnelle, Wasserfall)"
106_narrowriverarmparanamiri,narrow river arm (paraná miri),,,paraná-mirim,Schmaler Flußarm (Paraná miri)
107_fire,fire,221,FIRE,fogo,Feuer
108_smokeexhaust,smoke (exhaust),778,SMOKE (EXHAUST),fumaça,Rauch
109_ash,ash,646,ASH,cinzas,Asche
110_coal,coal,2658,COAL,carvão,Kohle
111_firewood,firewood,10,FIREWOOD,lenha,Brennholz
112_sky,sky,1732,SKY,céu,Himmel
113_cloud,cloud,1489,CLOUD,nuvem,Wolke
114_rainprecipitation,rain (precipitation),658,RAIN (PRECIPITATION),chuva,Regen
115_fog,fog,249,FOG,névoa,Nebel
116_dew,dew,1977,DEW,orvalho,Tau
117_drizzle,drizzle,1016,DRIZZLE,garoa,Feiner Nebelregen
118_wind,wind,960,WIND,vento,Wind
119_lightning,lightning,1654,LIGHTNING,relâmpago,Blitz
120_thunder,thunder,1150,THUNDER,trovão,Donner
121_rainbow,rainbow,1733,RAINBOW,arco-íris,Regenbogen
122_sun,sun,1343,SUN,sol,Sonne
123_shade,shade,1388,SHADE,sombra,Schatten
124_year,year,1226,YEAR,ano,Jahr
125_rainyseason,rainy season,453,RAINY SEASON,estação chuvosa,Regenzeit
126_dryseason,dry season,452,DRY SEASON,estação seca,Trockenzeit
127_day,day,1225,DAY (NOT NIGHT),dia,Tag
128_night,night,1233,NIGHT,noite,Nacht
129_morning,morning,1339,MORNING,manhã,Morgen
130_noon,noon,12,MIDDAY,meio-dia,Mittag
131_evening,evening,1629,EVENING,tarde,Abend
132_dawn,dawn,729,DAWN,amanhecer,Morgenrot
133_moon,moon,1313,MOON,lua,Mond
134_newmoon,new moon,3691,NEW MOON,lua nova,Neuer Mond
135_fullmoon,full moon,3690,FULL MOON,lua cheia,Vollmond
136_moonhalo,moon halo,,,halo lunar,Ringförmiger Mondhof
137_lunareclipse,lunar eclipse,,,eclipse lunar,Mondfinsternis
138_solareclipse,solar eclipse,,,eclipse solar,Sonnenfinstemis
139_star,star,1430,STAR,estrela,Stern
140_pleiades,pleiades,,,plêiades,Plejaden
141_milkyway,milky way,2289,MILKY WAY,via láctea,Milchstraße
142_earthsoilground,"earth (soil, ground)",1228,EARTH (SOIL),terra (solo),Erdboden
143_field,field,212,FIELD,campo,Feld
144_path,path,2252,PATH,caminho,Weg
145_mountain,mountain,639,MOUNTAIN,montanha,Berg
146_forest,forest,420,FOREST,floresta,Wald
147_island,island,622,ISLAND,ilha,Insel
148_beach,beach,3460,BEACH,praia,Strand
149_stone,stone,857,STONE,pedra,Stein
150_pumice,pumice,,,pedra-pomes,Bimsstein
151_whiterclay,whiter clay,,,tabatinga (tipo de argila mais clara),Weißer Ton
152_yellowclay,yellow clay,,,argila amarelada,Gelber Ton
153_hole,hole,1667,HOLE,buraco,Loch
154_grave,grave,1773,GRAVE,tumba,Grab
155_sea,sea,1474,SEA,mar,Meer
156_riosolimoes,Rio Solimões,,,Rio Solimões,Rio Solimões
157_riojapura,Rio Japurá,,,Rio Japurá,Rio Yapurá
158_rioapaporis,Rio Apapóris,,,Rio Apapóris,Rio Apaporis
